index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
4,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
22,8,True,6,10,6,6|6|6|6|6|6|6|6|6|6
34,4,False,4,4,4,4|4|4|4|4|4|1|1|1|1
35,6,True,0,10,2,2|2|2|2|2|2|2|2|4|1
41,2,False,2,5,-1,9|2|2|2|9|2|9|9|9|2
69,8,False,8,7,1,1|1|1|1|8|1|8|1|8|1
76,9,False,9,4,9,9|9|9|9|5|9|5|9|5|5
85,7,False,7,4,7,1|7|1|7|4|7|7|7|2|7
86,4,False,4,2,4,7|1|4|4|4|4|4|4|4|4
94,5,True,1,10,1,1|1|1|1|1|1|1|1|1|1
105,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
118,9,False,9,2,9,9|9|9|5|9|9|9|9|5|9
123,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
145,4,False,4,2,4,4|4|1|4|4|4|4|4|1|4
150,3,False,3,10,1,1|1|1|1|1|1|7|1|1|1
157,5,False,5,9,1,1|1|5|1|3|1|3|1|3|1
165,0,False,0,3,0,0|0|0|0|6|0|6|6|0|0
174,3,False,3,9,1,1|6|1|5|5|1|1|1|1|3
191,7,False,7,10,0,0|0|0|1|0|6|0|0|0|0
223,0,False,0,6,0,0|5|0|5|9|0|9|6|9|0
241,1,True,3,7,6,1|5|3|1|6|3|6|6|6|1
243,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
251,3,False,3,10,6,6|6|6|1|6|6|1|1|9|6
253,1,True,3,3,1,1|1|1|1|3|3|3|1|1|1
255,9,True,1,10,1,1|1|1|1|1|1|1|1|1|1
272,1,True,4,5,-1,4|1|4|4|1|1|4|1|4|1
280,8,False,8,6,1,1|8|8|1|1|1|8|1|8|1
281,2,False,2,1,2,2|2|2|0|2|2|2|2|2|2
284,0,False,0,3,0,0|0|0|1|1|0|8|0|0|0
317,0,False,0,3,0,0|0|0|6|0|0|6|6|0|0
320,7,False,7,3,7,7|7|1|7|7|7|4|3|7|7
344,0,False,0,1,0,0|0|0|0|0|0|0|6|0|0
388,9,True,7,10,7,7|7|7|7|7|7|7|7|7|7
413,7,False,7,1,7,7|7|7|7|7|7|9|7|7|7
423,2,False,2,2,2,2|2|2|1|2|2|2|5|2|2
424,2,True,5,10,1,1|5|1|1|1|1|5|5|1|1
436,0,False,0,3,0,0|6|0|0|6|0|0|6|0|0
447,4,False,4,8,-1,1|2|1|2|1|2|4|4|7|7
459,8,False,8,10,0,0|0|0|0|0|0|0|0|0|0
467,0,False,0,2,0,0|0|0|0|0|6|0|6|0|0
474,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
491,5,False,5,6,1,1|5|1|1|1|1|5|1|5|5
496,8,False,8,9,9,1|5|9|1|0|9|9|3|5|8
502,8,True,2,10,2,2|2|2|2|2|2|2|2|2|2
504,0,False,0,2,0,0|0|0|0|0|0|0|6|6|0
509,1,True,8,7,8,1|8|8|1|8|8|8|1|8|8
514,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
519,1,True,8,3,1,1|1|8|1|1|1|8|1|1|8
524,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
530,9,False,9,5,9,9|5|1|9|9|5|9|5|9|5
572,4,False,4,1,4,4|4|4|4|4|5|4|4|4|4
577,9,False,9,9,-1,1|0|0|0|1|0|1|9|5|1
606,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
636,9,True,7,10,7,7|7|7|7|7|7|7|7|7|7
645,7,True,6,10,6,6|6|6|6|6|6|6|6|6|6
648,2,False,2,10,0,0|0|5|0|0|0|0|9|6|9
654,7,False,7,2,7,7|7|7|1|7|1|7|7|7|7
662,3,True,7,9,7,7|7|4|7|7|1|3|7|7|7
665,4,False,4,4,4,4|2|4|2|1|4|4|4|4|2
679,9,False,9,1,9,9|9|9|9|9|9|9|9|5|9
695,0,False,0,2,0,0|0|0|0|1|0|0|6|0|0
717,3,False,3,5,3,3|1|3|1|1|3|3|3|7|1
733,0,False,0,6,-1,0|2|6|0|2|0|0|2|2|6
737,2,False,2,1,2,2|2|2|2|2|2|2|1|2|2
748,0,False,0,3,0,2|2|0|0|0|0|0|2|0|0
756,5,True,9,10,1,1|1|1|1|1|1|1|9|1|1
761,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
802,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
804,2,False,2,10,-1,1|6|1|6|6|6|3|3|3|3
820,9,True,2,10,6,6|6|6|6|7|6|7|6|6|3
831,4,False,4,3,4,1|1|4|4|4|4|4|4|4|1
851,5,False,5,1,5,5|5|1|5|5|5|5|5|5|5
855,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
857,3,False,3,10,1,1|1|1|5|1|1|1|1|1|1
860,8,False,8,5,-1,1|8|8|1|1|1|8|1|8|8
867,5,True,9,8,9,9|9|9|9|9|9|5|9|9|5
884,9,False,9,2,9,9|9|1|9|9|9|8|9|9|9
887,4,False,4,1,4,4|4|4|4|4|4|4|1|4|4
901,8,False,8,7,1,1|1|1|1|8|1|1|1|8|8
902,0,False,0,1,0,0|0|0|0|0|0|0|6|0|0
906,0,False,0,2,0,0|0|6|0|0|0|0|6|0|0
925,4,False,4,4,4,1|1|4|5|4|1|4|4|4|4
943,8,False,8,2,8,1|8|8|8|8|8|1|8|8|8
948,7,False,7,2,7,7|7|7|7|7|7|4|7|9|7
953,9,False,9,3,9,9|9|9|9|9|9|9|5|5|5
956,9,True,7,6,7,7|7|7|7|7|9|9|7|9|9
961,8,True,6,10,6,6|6|6|6|6|6|6|6|6|6
966,1,True,4,7,4,1|1|4|4|4|4|4|4|1|4
970,9,False,9,1,9,9|9|9|5|9|9|9|9|9|9
971,8,False,8,7,1,1|8|1|8|1|1|1|1|8|1
977,5,True,1,5,-1,1|5|1|1|1|5|5|5|5|1
995,3,False,3,9,1,1|2|1|1|1|1|3|5|6|1
1013,7,True,6,9,6,1|7|5|6|6|9|2|6|6|6
1017,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
1021,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1029,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1049,5,True,9,5,-1,5|9|9|5|9|5|9|9|5|5
1081,1,True,5,10,5,5|5|5|5|5|5|5|5|5|5
1090,2,True,1,10,1,1|1|1|1|1|1|1|1|5|1
1094,9,True,7,5,9,9|7|1|9|7|9|7|9|9|7
1099,9,False,9,2,9,9|9|9|9|9|9|5|9|9|5
1103,1,False,1,2,1,1|1|1|1|1|1|7|1|5|1
1122,5,True,2,10,2,2|4|2|2|2|1|2|1|2|2
1128,3,False,3,8,-1,1|1|3|5|5|3|5|1|1|5
1133,5,False,5,2,5,5|5|5|5|5|5|1|5|1|5
1145,1,False,1,1,1,1|1|1|1|1|1|1|1|1|5
1168,0,False,0,1,0,0|0|0|0|0|0|0|6|0|0
1180,2,False,2,2,2,2|2|2|2|9|2|9|2|2|2
1181,1,True,8,8,8,1|8|8|8|8|8|1|8|8|8
1196,3,False,3,7,-1,3|6|3|5|5|3|1|1|8|5
